Date,Symbol,Weight,Theme
2026-06-02,KO,0.071429,Consumer Staples
2026-06-02,PG,0.071429,Consumer Staples
2026-06-02,JNJ,0.071429,Healthcare
2026-06-02,XLU,0.071429,Utilities
2026-06-02,XLV,0.071429,Healthcare ETF
2026-06-02,XLP,0.071429,Staples ETF
2026-06-02,WMT,0.071429,Consumer Defensive
2026-06-02,CME,0.071429,Capital Markets
2026-06-02,ICE,0.071429,Capital Markets
2026-06-02,LMT,0.071429,Defense
2026-06-02,RTX,0.071429,Defense
2026-06-02,AMT,0.071429,Real Assets
2026-06-02,VNQ,0.071429,Real Estate
2026-06-02,VTIP,0.071429,Real Yield
