Date,Symbol,Weight,Phase,Theme
2026-06-02,NVDA,0.071429,Phase 1 · Entry · 2 Jun,AI Compute
2026-06-02,MSFT,0.071429,Phase 1 · Entry · 2 Jun,AI Compute
2026-06-02,GOOGL,0.071429,Phase 1 · Entry · 2 Jun,AI Compute
2026-06-02,META,0.071429,Phase 1 · Entry · 2 Jun,AI Compute
2026-06-02,AMZN,0.071429,Phase 1 · Entry · 2 Jun,AI Compute
2026-06-02,HPE,0.071429,Phase 1 · Entry · 2 Jun,AI Compute
2026-06-02,MRVL,0.071429,Phase 1 · Entry · 2 Jun,AI Compute
2026-06-02,AMAT,0.071429,Phase 1 · Entry · 2 Jun,Tech Infrastructure
2026-06-02,LRCX,0.071429,Phase 1 · Entry · 2 Jun,Tech Infrastructure
2026-06-02,KLAC,0.071429,Phase 1 · Entry · 2 Jun,Tech Infrastructure
2026-06-02,MU,0.071429,Phase 1 · Entry · 2 Jun,Tech Infrastructure
2026-06-02,AVGO,0.071429,Phase 1 · Entry · 2 Jun,Tech Infrastructure
2026-06-02,AMD,0.071429,Phase 1 · Entry · 2 Jun,Tech Infrastructure
2026-06-02,ANET,0.071429,Phase 1 · Entry · 2 Jun,Tech Infrastructure
2026-06-04,XLV,0.071429,Phase 2 · Rebalance · 4 Jun,Defensive Healthcare
2026-06-04,XLU,0.071429,Phase 2 · Rebalance · 4 Jun,Defensive Utilities
2026-06-04,XLP,0.071429,Phase 2 · Rebalance · 4 Jun,Consumer Staples
2026-06-04,WMT,0.071429,Phase 2 · Rebalance · 4 Jun,Consumer Defensive
2026-06-04,KO,0.071429,Phase 2 · Rebalance · 4 Jun,Consumer Staples
2026-06-04,PG,0.071429,Phase 2 · Rebalance · 4 Jun,Consumer Staples
2026-06-04,JNJ,0.071429,Phase 2 · Rebalance · 4 Jun,Healthcare
2026-06-04,CME,0.071429,Phase 2 · Rebalance · 4 Jun,Capital Markets
2026-06-04,ICE,0.071429,Phase 2 · Rebalance · 4 Jun,Capital Markets
2026-06-04,LMT,0.071429,Phase 2 · Rebalance · 4 Jun,Defense
2026-06-04,RTX,0.071429,Phase 2 · Rebalance · 4 Jun,Defense
2026-06-04,NOC,0.071429,Phase 2 · Rebalance · 4 Jun,Defense
2026-06-04,AMT,0.071429,Phase 2 · Rebalance · 4 Jun,Real Assets
2026-06-04,VNQ,0.071429,Phase 2 · Rebalance · 4 Jun,Real Estate
